[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/django/utils/decorators.py first seen with mtime 1699976130.8859913
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/sqlparse/__init__.py first seen with mtime 1698253444.2948477
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/numpy/_typing/_array_like.py first seen with mtime 1699976182.3658893
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.10/zipfile.py first seen with mtime 1686461188.0
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/django/contrib/postgres/fields/__init__.py first seen with mtime 1699976130.7619917
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.10/signal.py first seen with mtime 1686461188.0
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.10/asyncio/base_tasks.py first seen with mtime 1686461188.0
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/numpy/ma/core.py first seen with mtime 1699976182.3658893
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/rest_framework/utils/urls.py first seen with mtime 1698253552.238652
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.10/tempfile.py first seen with mtime 1686461188.0
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.10/uu.py first seen with mtime 1686461188.0
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/rest_framework/templatetags/__init__.py first seen with mtime 1698253552.238652
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.10/email/_policybase.py first seen with mtime 1686461188.0
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/django/conf/global_settings.py first seen with mtime 1699976130.3339925
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.10/linecache.py first seen with mtime 1686461188.0
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/numpy/lib/mixins.py first seen with mtime 1699976182.5018892
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/numpy/core/defchararray.py first seen with mtime 1699976182.4698892
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /var/www/brian-cm/briansclub/middleware.py first seen with mtime 1699209679.8215628
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.10/asyncio/staggered.py first seen with mtime 1686461188.0
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/django/core/checks/compatibility/__init__.py first seen with mtime 1699976130.8419914
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/django/contrib/staticfiles/management/__init__.py first seen with mtime 1699976130.8419914
